cosmos_id,n_chimeras,representative_chimera_id,host_ra_deg,host_dec_deg,host_redshift,service,catalog_label,catalog_id,rank,match_ra_deg,match_dec_deg,separation_arcsec,match_redshift,delta_redshift,redshift_consistent,source_id,quality,ra_column,dec_column,redshift_column
449064,2,150534.83+070200.6_449064_0.03,149.76266436794492,1.9787515740142214,0.6901000142097473,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.76266,1.9787406,0.04251738454182243,nan,nan,,,,RAJ2000,DEJ2000,zsp
447761,1,081554.14+383122.3_447761_0.03,150.00588503052478,1.9765331213302075,0.9980999827384949,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.00587,1.9765245,0.06235125870828281,nan,nan,,,,RAJ2000,DEJ2000,zsp
497406,14,163552.48+275158.6_497406_0.001,149.7155841520823,2.0566244682760977,2.0088000297546387,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.71559,2.0566435,0.07167170665249555,nan,nan,,,,RAJ2000,DEJ2000,zsp
490950,6,163058.35+132956.8_490950_0.1,149.9313883439024,2.0460327319300537,0.4424000084400177,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.931381,2.046027,0.033524327822409244,0.44190001487731934,-0.0004999935626983643,True,819294,3.5,RAJ2000,DEJ2000,z
490950,6,163058.35+132956.8_490950_0.1,149.9313883439024,2.0460327319300537,0.4424000084400177,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.9314,2.0460441,0.05859539897674631,0.4424,-8.440017684741008e-09,True,819294,3.5,RAJ2000,DEJ2000,zsp
492981,4,084856.05+232456.9_492981_0.3,149.98172694285097,2.0483777143529416,0.8970999717712402,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.981735,2.048372,0.03554506305395485,0.8964999914169312,-0.000599980354309082,True,819088,4.5,RAJ2000,DEJ2000,z
492981,4,084856.05+232456.9_492981_0.3,149.98172694285097,2.0483777143529416,0.8970999717712402,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.98174,2.0483911,0.06729659326098242,0.8971,2.8228759774151513e-08,True,819088,4.5,RAJ2000,DEJ2000,zsp
493669,3,151046.20+011819.0_493669_0.0003,149.71568404054094,2.049121768683907,0.3725999891757965,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.715668,2.049125,0.058869785996224146,0.37209999561309814,-0.0004999935626983643,True,820138,4.5,RAJ2000,DEJ2000,z
493669,3,151046.20+011819.0_493669_0.0003,149.71568404054094,2.049121768683907,0.3725999891757965,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.71568,2.0491171,0.022221569045916597,0.3726,1.0824203477977079e-08,True,820138,4.5,RAJ2000,DEJ2000,zsp
593787,1,142200.91+181722.3_593787_0.01,150.29614601355541,2.202928555479448,1.0420000553131104,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.29614,2.2029133,0.05902672568653992,nan,nan,,,,RAJ2000,DEJ2000,zsp
