cosmos_id,n_chimeras,representative_chimera_id,host_ra_deg,host_dec_deg,host_redshift,service,catalog_label,catalog_id,rank,match_ra_deg,match_dec_deg,separation_arcsec,match_redshift,delta_redshift,redshift_consistent,source_id,quality,ra_column,dec_column,redshift_column,best_match
305096,1,153605.06+260929.4_305096_0.003,149.59559900746342,1.7502437866999663,0.5490000247955322,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.59558,1.7502484,0.07038245589613826,0.549,-2.4795532183041757e-08,True,807953,4.5,RAJ2000,DEJ2000,zsp,True
305522,5,083232.38+492348.2_305522_0.03,150.1107308781252,1.7506062748839313,0.7360000014305115,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.11073,1.7505987,0.02745203618353731,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
306639,3,081353.37+530113.5_306639_0.0001,150.00617356193536,1.7501848769865749,0.33799999952316284,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.006165,1.750197,0.0534215996069811,0.3375999927520752,-0.0004000067710876465,True,806143,4.5,RAJ2000,DEJ2000,z,True
307027,1,170811.61+244313.3_307027_0.1,149.94028040793555,1.753755540407215,0.8047000169754028,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.940292,1.753781,0.10069972637100365,0.804099977016449,-0.0006000399589538574,True,806455,3.5,RAJ2000,DEJ2000,z,True
308764,2,145603.08+011445.4_308764_0.03,150.2200133692893,1.7573402404681686,2.3620998859405518,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.22005,1.7573414,0.1318746185528449,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
308849,3,160317.66+164638.8_308849_0.0001,149.67252867142602,1.7558874300685152,0.5659999847412109,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.672516,1.755899,0.06175627646305233,0.565500020980835,-0.0004999637603759766,True,807626,3.5,RAJ2000,DEJ2000,z,True
309628,15,075114.94+413047.4_309628_0.003,149.72486559237686,1.7589172178309507,0.44760000705718994,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.72487,1.758936,0.06945096198755023,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
311213,2,154842.02+091332.6_311213_0.03,150.35700833720952,1.7613372428203813,1.5,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.35703,1.7613744,0.15482047447663924,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
311441,7,160307.98+374549.0_311441_0.03,149.9628743255643,1.76224038780215,3.187299966812134,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.96291,1.7622316,0.13220812111314323,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
313491,2,091127.27+325336.9_313491_0.01,149.9535544333471,1.7638044384881901,0.28279998898506165,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.953552,1.763817,0.046061313830557345,0.2824000120162964,-0.0003999769687652588,True,806387,4.5,RAJ2000,DEJ2000,z,True
313529,6,152942.75-015934.0_313529_0.0001,150.2675859032098,1.7653450009805023,0.26420000195503235,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.26759,1.7653939,0.17665262247100963,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
313620,1,161700.81+124332.2_313620_0.01,150.41363658325395,1.7624744504272574,0.36149999499320984,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.413635,1.762484,0.034847304805458695,0.3610000014305115,-0.0004999935626983643,True,804304,4.5,RAJ2000,DEJ2000,z,True
315911,4,083312.40+401121.1_315911_0.001,150.31993347150964,1.7682706419132697,0.43560001254081726,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.319946,1.768287,0.07416354879354589,0.4350999891757965,-0.000500023365020752,True,804655,3.5,RAJ2000,DEJ2000,z,True
316869,1,084309.86+294404.6_316869_0.1,150.20973890427376,1.7693272659403054,0.4041000008583069,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.209732,1.769337,0.04295562945637715,0.4036000072956085,-0.0004999935626983643,True,805178,3.5,RAJ2000,DEJ2000,z,True
316998,3,155344.42+430615.2_316998_0.0003,149.89696411074584,1.7708931369437069,2.6566998958587646,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.89702,1.7709016,0.20339996835339447,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
318682,1,164708.03+255908.3_318682_0.03,149.7102803153186,1.7737285256306636,3.028599977493286,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.71027,1.7736857,0.15857738475094751,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
318995,1,030214.27-072021.0_318995_0.3,150.2254228001229,1.7718611512036515,0.7409999966621399,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.22543,1.7718697,0.040228383477323215,0.741,3.3378600994282692e-09,True,805101,3.5,RAJ2000,DEJ2000,zsp,True
320911,1,082231.53+231152.0_320911_0.1,149.5961895329131,1.77532895277536,0.660099983215332,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.59618,1.7753398,0.05197625742701405,0.6601,1.6784667988822832e-08,True,807950,3.5,RAJ2000,DEJ2000,zsp,True
321637,1,025105.14-001732.1_321637_0.003,149.89426358052262,1.778345280065687,3.449899911880493,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.89429,1.7783413,0.09613803297140044,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
322352,1,162504.15+150616.0_322352_0.03,150.0448619681023,1.7790540865787072,3.0,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.04488,1.779074,0.09669068529342477,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
322533,1,164258.80+394836.9_322533_0.3,149.56834612548144,1.777761932294018,0.5938000082969666,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.568359,1.777773,0.06110333980086746,0.5932999849319458,-0.000500023365020752,True,808059,3.5,RAJ2000,DEJ2000,z,True
326341,2,081441.91+212918.5_326341_0.03,150.1724555292074,1.7827797799248097,0.16830000281333923,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.17247,1.7827846,0.05488486494774343,0.1683,-2.8133392282470027e-09,True,805426,3.5,RAJ2000,DEJ2000,zsp,True
326345,1,083413.90+511214.6_326345_0.01,149.96331638936502,1.7853792419739027,2.3980000019073486,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.96332,1.7854065,0.09898520729001917,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
326483,2,083942.11+380526.4_326483_0.3,149.68907859612725,1.7853007780780044,2.3201000690460205,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.68912,1.7853411,0.20800631049171503,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
328126,3,163515.87+143925.9_328126_1,149.59698113882467,1.7856467742378848,1.3348000049591064,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.59698,1.785648,0.006021967321434142,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
328247,5,030140.97+011551.1_328247_0.0001,150.00729334721427,1.787261910725556,1.7695000171661377,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.00731,1.7872626,0.05997222049587289,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
332075,4,164708.03+255908.3_332075_0.1,150.25462996454422,1.7940516664015989,3.029099941253662,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.25464,1.7940725,0.08324103724794976,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
