status,chimera_id,row_index,cosmos_id,dr7q_spectrum_id,chimera_redshift,dr7q_redshift,chimera_qso_weight,source_spectrum_path,reason
rejected,161614.28+422209.7_820123_0.0003,1310,820123,1171-52753-362,1.1759999990463257,1.173,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/161614.28+422209.7_820123_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 40.9468 is outside allowed range
rejected,083346.15+165304.8_851764_1,1362,851764,2276-53712-514,0.8899999856948853,0.8931000000000001,1.0,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/083346.15+165304.8_851764_1_spectrum.ecsv,ValueError: median spectrum/photometry scale 5.60416 is outside allowed range
rejected,134713.20-024233.3_789792_0.0003,1412,789792,913-52433-159,0.5015000104904175,0.5112000000000001,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/134713.20-024233.3_789792_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.160741 is outside allowed range
rejected,141010.75+114158.4_789792_0.001,1554,789792,1705-53848-372,0.5015000104904175,0.49810000000000004,0.001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/141010.75+114158.4_789792_0.001_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.174842 is outside allowed range
rejected,081527.70+453452.6_789792_0.001,1576,789792,441-51868-275,0.5015000104904175,0.5023000000000001,0.001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/081527.70+453452.6_789792_0.001_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.165139 is outside allowed range
rejected,075352.98+315341.6_789792_0.0003,1634,789792,890-52583-112,0.5015000104904175,0.49380000000000007,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/075352.98+315341.6_789792_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.160671 is outside allowed range
rejected,144430.21+000949.3_497850_1,1998,497850,307-51663-640,0.6378999948501587,0.6308,1.0,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/144430.21+000949.3_497850_1_spectrum.ecsv,ValueError: only 0 overlapping photometry bands; need 1
rejected,143001.76-021717.7_505374_0.0001,2676,505374,919-52409-307,0.28450000286102295,0.2901,0.0001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/143001.76-021717.7_505374_0.0001_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.195146 is outside allowed range
rejected,153341.95+143707.0_477663_0.001,2798,477663,2782-54592-236,0.3328000009059906,0.34140000000000004,0.001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/153341.95+143707.0_477663_0.001_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.1904 is outside allowed range
rejected,084600.36+070424.6_477663_0.0003,2857,477663,1298-52964-155,0.3328000009059906,0.342,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/084600.36+070424.6_477663_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.178464 is outside allowed range
rejected,082054.81+100609.4_368004_1,4242,368004,2423-54149-216,0.9627000093460083,0.9556000000000001,1.0,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/082054.81+100609.4_368004_1_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.134142 is outside allowed range
rejected,083950.18+432941.4_754336_0.0003,5723,754336,762-52232-65,0.5526999831199646,0.5566000000000001,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/083950.18+432941.4_754336_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.191081 is outside allowed range
rejected,150507.66+242504.0_754336_0.0003,8023,754336,2149-54509-33,0.5526999831199646,0.5596000000000001,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/150507.66+242504.0_754336_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.190424 is outside allowed range
